Mode: chained; duration: 120.0s; speed: 150
Phase 1: forward 17 cm for 2.10s, then right 90 degrees for 2.68s
Circle mode: after 25.6s on P1110/P1111, or both within 1.0s, turn right about 42.5 degrees; auto-trace inside; sustained P1001 (0.1s) enters exit mode: drive 5 cm and turn right 50 degrees
Operator beside car, chassis secured, power ready to cut? (yes/no) Phase 1 starting: forward 17 cm
Phase 1 complete: turning right 90 degrees
Phase 2 starting: auto-tracing
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
  36.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.1s P0100 -> L0 R150: drifting left, slight; left correction
  36.1s P0100 -> L0 R150: drifting left, slight; left correction
  36.1s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.2s P0100 -> L0 R150: drifting left, slight; left correction
  36.3s P0100 -> L0 R150: drifting left, slight; left correction
  36.3s P0100 -> L0 R150: drifting left, slight; left correction
  36.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.4s P0100 -> L0 R150: drifting left, slight; left correction
  36.5s P0100 -> L0 R150: drifting left, slight; left correction
  36.5s P0100 -> L0 R150: drifting left, slight; left correction
  36.5s P0100 -> L0 R150: drifting left, slight; left correction
  36.5s P0100 -> L0 R150: drifting left, slight; left correction
  36.5s P0100 -> L0 R150: drifting left, slight; left correction
  36.5s P0100 -> L0 R150: drifting left, slight; left correction
  36.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.6s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.6s P0100 -> L0 R150: drifting left, slight; left correction
  36.6s P0100 -> L0 R150: drifting left, slight; left correction
  36.6s P0100 -> L0 R150: drifting left, slight; left correction
  36.6s P0100 -> L0 R150: drifting left, slight; left correction
  36.6s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.7s P0100 -> L0 R150: drifting left, slight; left correction
  36.8s P0100 -> L0 R150: drifting left, slight; left correction
  36.8s P0100 -> L0 R150: drifting left, slight; left correction
  36.8s P0100 -> L0 R150: drifting left, slight; left correction
  36.8s P0100 -> L0 R150: drifting left, slight; left correction
  36.8s P0100 -> L0 R150: drifting left, slight; left correction
  36.8s P0100 -> L0 R150: drifting left, slight; left correction
  36.8s P0100 -> L0 R150: drifting left, slight; left correction
  36.8s P0100 -> L0 R150: drifting left, slight; left correction
  36.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  36.9s P0100 -> L0 R150: drifting left, slight; left correction
  36.9s P0100 -> L0 R150: drifting left, slight; left correction
  36.9s P0100 -> L0 R150: drifting left, slight; left correction
  36.9s P0100 -> L0 R150: drifting left, slight; left correction
  37.0s P0100 -> L0 R150: drifting left, slight; left correction
  37.0s P0100 -> L0 R150: drifting left, slight; left correction
  37.0s P0100 -> L0 R150: drifting left, slight; left correction
  37.0s P0100 -> L0 R150: drifting left, slight; left correction
  37.0s P0100 -> L0 R150: drifting left, slight; left correction
  37.0s P0100 -> L0 R150: drifting left, slight; left correction
  37.0s P0100 -> L0 R150: drifting left, slight; left correction
  37.0s P0100 -> L0 R150: drifting left, slight; left correction
  37.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.1s P0100 -> L0 R150: drifting left, slight; left correction
  37.1s P0100 -> L0 R150: drifting left, slight; left correction
  37.1s P0100 -> L0 R150: drifting left, slight; left correction
  37.1s P0100 -> L0 R150: drifting left, slight; left correction
  37.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.1s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.2s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.3s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.3s P0100 -> L0 R150: drifting left, slight; left correction
  37.3s P0100 -> L0 R150: drifting left, slight; left correction
  37.3s P0100 -> L0 R150: drifting left, slight; left correction
  37.3s P0100 -> L0 R150: drifting left, slight; left correction
  37.3s P0100 -> L0 R150: drifting left, slight; left correction
  37.3s P0100 -> L0 R150: drifting left, slight; left correction
  37.3s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.4s P0100 -> L0 R150: drifting left, slight; left correction
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.5s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.6s P0100 -> L0 R150: drifting left, slight; left correction
  37.7s P0100 -> L0 R150: drifting left, slight; left correction
  37.7s P0100 -> L0 R150: drifting left, slight; left correction
  37.7s P0100 -> L0 R150: drifting left, slight; left correction
  37.7s P0100 -> L0 R150: drifting left, slight; left correction
  37.7s P0100 -> L0 R150: drifting left, slight; left correction
  37.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.7s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.8s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.8s P0100 -> L0 R150: drifting left, slight; left correction
  37.8s P0100 -> L0 R150: drifting left, slight; left correction
  37.8s P0100 -> L0 R150: drifting left, slight; left correction
  37.8s P0100 -> L0 R150: drifting left, slight; left correction
  37.8s P0100 -> L0 R150: drifting left, slight; left correction
  37.8s P0100 -> L0 R150: drifting left, slight; left correction
  37.8s P0100 -> L0 R150: drifting left, slight; left correction
  37.9s P0100 -> L0 R150: drifting left, slight; left correction
  37.9s P0100 -> L0 R150: drifting left, slight; left correction
  37.9s P0100 -> L0 R150: drifting left, slight; left correction
  37.9s P0100 -> L0 R150: drifting left, slight; left correction
  37.9s P0100 -> L0 R150: drifting left, slight; left correction
  37.9s P0100 -> L0 R150: drifting left, slight; left correction
  37.9s P0100 -> L0 R150: drifting left, slight; left correction
  37.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  37.9s P0110 -> L150 R150: centred or right drift; forward-only policy
  38.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  38.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  38.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  38.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  38.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  38.0s P0110 -> L150 R150: centred or right drift; forward-only policy
  38.0s P0100 -> L0 R150: drifting left, slight; left correction
  38.0s P0100 -> L0 R150: drifting left, slight; left correction
  38.0s P0100 -> L0 R150: drifting left, slight; left correction
  38.0s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.1s P0100 -> L0 R150: drifting left, slight; left correction
  38.2s P0100 -> L0 R150: drifting left, slight; left correction
  38.2s P0100 -> L0 R150: drifting left, slight; left correction
  38.2s P0100 -> L0 R150: drifting left, slight; left correction
